Descricao;Codigo;Quantidade;Unidade;Valor_Unitario;Valor_Total;Categoria;Data
Desinfetante Urca Floral;61444;1;UN;6,29;6,29;Limpeza;01/02/26
Lava Roupas Líquido Becker;97967;1;UN;19,90;19,90;Limpeza;01/02/26
Amaciante de Roupa Sonho;50167;1;UN;10,54;10,54;Limpeza;01/02/26
Refrigerante Coca-Cola Sem Açúcar;66455;1;UN;10,49;10,49;Bebidas;01/02/26
Creme de Pentear Salon Line;57674;1;UN;34,90;34,90;Higiene;01/02/26
Leite Fermentado Chamyt;58882;2;UN;6,89;13,78;laticinios;01/02/26
Alho Rainha Triturado;37201;1;PTE;3,99;3,99;Mercearia;01/02/26
Requeijão Betânia;65164;2;UN;9,69;19,38;laticinios;01/02/26
Salsicha Seara;78145;1;UN;17,99;17,99;Carnes;01/02/26
Mussarela Girolanda Ralada;85896;0,508;KG;35,90;18,24;Frios e laticinios;01/02/26
Ameixa Nacional;1637;0,515;KG;7,99;4,11;Hortifruti;01/02/26
Pão de Forma Bellavita;37691;1;PCT;5,69;5,69;Padaria;01/02/26
Uva Thompson Bandeja;36877;3;BDJ;7,99;23,97;Hortifruti;01/02/26
Uva Rubi Bandeja;41633;2;BDJ;6,99;13,98;Hortifruti;01/02/26
Ração Pedigree Cordeiro;44932;1;UN;2,69;2,69;Pet Shop;01/02/26
Ração Pedigree Carne;36811;2;UN;2,69;5,38;Pet Shop;01/02/26
Iogurte Itambé Fit;91440;3;UN;8,49;25,47;laticinios;01/02/26
