descricao;codigo;quantidade;unidade;valor_unitario;valor_total;categoria;Data
Limão Tahiti Tropical;1805;1,01;KG;2,99;3,02;hortifruti;01/11/25
Beterraba;1616;0,95;KG;5,99;5,69;hortifruti;01/11/25
Cenoura;1920;0,625;KG;2,89;1,81;hortifruti;01/11/25
Maçã Nacional Gala;1825;0,93;KG;12,99;12,08;hortifruti;01/11/25
Cebola;14692;1,01;KG;2,99;3,02;hortifruti;01/11/25
Coxão Mole Bovino Reserva;85219;1,39;KG;42,89;59,62;açougue;01/11/25
Espeto Bovino Jundiaí;65044;1;UND;22,90;22,90;açougue;01/11/25
Banana Pacovan;12657;3,555;KG;2,89;10,27;hortifruti;01/11/25
Banana Pacovan;12657;2,435;KG;2,89;7,04;hortifruti;01/11/25
Filé de Tilápia Vital;55351;1;UND;31,98;31,98;peixaria;01/11/25
Músculo Bovino Reserva;85690;2,032;KG;39,90;81,08;açougue;01/11/25
Linguiça de Frango Aurora;89067;1,07;KG;16,90;18,08;frios;01/11/25
Batata Pré-Frita Congelada;91190;1;UND;22,90;22,90;congelados;01/11/25
Coxa e Asa de Frango Sadia;4804;2;PCT;17,99;35,98;aves;01/11/25
Filé de Peixe Tilápia;61742;1;PCT;37,98;37,98;peixaria;01/11/25
Mussarela Girolanda Fatiada;85579;0,502;KG;37,90;19,03;frios;01/11/25
Steak de Frango Lar;39297;10;UND;1,99;19,90;aves;01/11/25
Filé de Peito de Frango Lar;73668;4;UND;19,90;79,60;aves;01/11/25
Fígado Bovino Reserva;85320;1,03;KG;10,98;11,31;açougue;01/11/25
Fígado Bovino Reserva;85320;0,864;KG;10,98;9,49;açougue;01/11/25
Bife Coxão Mole Reserva;85220;0,31;KG;49,90;15,47;açougue;01/11/25
Bife Coxão Duro Reserva;85676;0,276;KG;49,50;13,66;açougue;01/11/25
Bife Borboleta Especial;85717;0,336;KG;43,90;14,75;açougue;01/11/25
Bife à Milanesa Reserva;85710;0,308;KG;43,90;13,52;açougue;01/11/25
Bife Coxão Mole Reserva;85220;0,282;KG;49,90;14,07;açougue;01/11/25
Bife Coxão Mole Reserva;85220;0,286;KG;49,90;14,27;açougue;01/11/25
Pão de Queijo Tradicional;37617;1;UND;19,90;19,90;padaria;01/11/25
Uva Thompson Bandeja;36877;1;BDJ;4,89;4,89;hortifruti;01/11/25
Leite Fermentado Chamyto;58882;1;UND;7,89;7,89;laticinios;01/11/25
Iogurte Itambé Fit;91440;1;UND;7,49;7,49;laticinios;01/11/25
Iogurte Itambé Fit;91443;2;UND;7,49;14,98;laticinios;01/11/25
Margarina Deline com Sal;46324;3;UND;13,90;41,70;mercearia;01/11/25
Biscoito Treloso;76999;3;UND;1,99;5,97;mercearia;01/11/25
Biscoito Vitarella;70715;4;UND;2,59;10,36;mercearia;01/11/25
Biscoito Vitarella;71635;3;UND;6,99;20,97;mercearia;01/11/25
Biscoito Vitarella Recheado;49643;2;UND;2,39;4,78;mercearia;01/11/25
Biscoito Vitarella;95560;2;UND;6,99;13,98;mercearia;01/11/25
Biscoito Treloso;77001;5;UND;1,99;9,95;mercearia;01/11/25
Biscoito Bauducco Wafer;88524;3;UND;1,89;5,67;mercearia;01/11/25
Açúcar Cristal Petribu;8048;4;PCT;2,99;11,96;mercearia;01/11/25
Leite em Pó Integral Lasere;70393;6;UND;6,29;37,74;laticinios;01/11/25
Milho de Pipoca Kicaldo;46504;1;PCT;3,79;3,79;mercearia;01/11/25
Farinha Láctea Nestlé;88984;1;UND;25,90;25,90;mercearia;01/11/25
Achocolatado Chocolatto;57074;1;UND;18,98;18,98;mercearia;01/11/25
Feijão Kicaldo;11874;4;PCT;5,89;23,56;mercearia;01/11/25
Salgadinho Elma Chips;69026;10;UND;1,29;12,90;mercearia;01/11/25
Leite Condensado Piracanjuba Semidesnatado;29518;2;UND;4,95;9,90;mercearia;01/11/25
Tempero Sazon;29955;3;PCT;6,19;18,57;mercearia;01/11/25
Adoçante Zero Cal;60277;2;UND;12,49;24,98;mercearia;01/11/25
Arroz Pop;4356;5;PCT;4,49;22,45;mercearia;01/11/25
Bala de Gelatina Fini;71943;1;UND;15,90;15,90;doces;01/11/25
Macarrão Nissin Lámen;5614;10;PCT;2,39;23,90;mercearia;01/11/25
Café Solúvel Pretinho;98070;1;UND;5,59;5,59;mercearia;01/11/25
Catchup Bonare;60633;1;UND;8,59;8,59;mercearia;01/11/25
Salgadinho Elma Chips;92592;1;UND;5,99;5,99;mercearia;01/11/25
Bombom Garoto Sortido;66932;1;UND;12,99;12,99;doces;01/11/25
Chocolate Kinder;74725;1;UND;9,49;9,49;doces;01/11/25
Vinagre Muriongo;15856;1;UND;2,19;2,19;mercearia;01/11/25
Azeite de Oliva Cordoba;62561;1;UND;27,90;27,90;mercearia;01/11/25
Óleo de Soja Soya;11300;1;FRC;8,89;8,89;mercearia;01/11/25  
Flocão de Milho Coringa;16368;5;PCT;1,98;9,90;mercearia;01/11/25
Creme de Leite Piracanjuba;23290;3;UND;2,99;8,97;laticinios;01/11/25
Creme Dental Colgate MPA;22534;1;UND;8,78;8,78;higiene;01/11/25
Macarrão Instantâneo Nissin Carne;63487;1;UND;4,09;4,09;mercearia;01/11/25
Aveia Yoki Flocos;56315;5;UND;3,99;19,95;mercearia;01/11/25
Lava Roupas Líquido Bem Te Vi;97354;1;UND;13,90;13,90;limpeza;01/11/25
Desodorante Rexona Aerosol;65704;1;UND;14,90;14,90;higiene;01/11/25
Sardinha Gomes da Costa;12383;3;UND;4,79;14,37;mercearia;01/11/25
Vassoura Coral Plus;64348;1;UND;8,90;8,90;limpeza;01/11/25
Detergente Líquido Absoluto;86291;4;UND;1,55;6,20;limpeza;01/11/25
Amaciante Sonho Mágico;89470;1;UND;9,48;9,48;limpeza;01/11/25
Água Sanitária Clorito;62412;3;UND;2,09;6,27;limpeza;01/11/25
Detergente em Pó Bem Te Vi;97348;6;UND;3,39;20,34;limpeza;01/11/25
Refrigerante Guaraná Antarctica Zero;93689;2;UND;5,29;10,58;bebidas;01/11/25
Desinfetante Urca;64772;1;UND;6,29;6,29;limpeza;01/11/25
Refrigerante Coca-Cola Sem Açúcar;66455;1;UND;10,49;10,49;bebidas;01/11/25
Cabo Santa Maria Metal;48353;1;UND;4,69;4,69;limpeza;01/11/25
Papel Higiênico Max;64524;1;UND;14,89;14,89;limpeza;01/11/25
Hambúrguer Texas Bovino Seara;19394;1;CXT;19,98;19,98;congelados;01/11/25
Conjunto de Potes Sanremo;6250;1;UND;7,90;7,90;utilidades;01/11/25
Conjunto de Potes Sanremo;94438;1;UND;7,90;7,90;utilidades;01/11/25
Pão Francês;87703;0,598;KG;10,50;6,28;padaria;01/11/25
Leite Fermentado Bob;42016;3;UND;6,69;20,07;laticinios;01/11/25
Iogurte Itambé Nolac;97869;2;UND;7,49;14,98;laticinios;01/11/25
Requeijão Isis Zero Lactose;64254;1;UND;9,49;9,49;laticinios;01/11/25
Polpa Nossa Fruta;67944;4;PCT;17,90;71,60;congelados;01/11/25
Ovos Brancos Grandes;21825;4;BDJ;12,90;51,60;hortifruti;01/11/25
